,TaskId,WorkerId,TaskRequiredTechnologies,RegistrationDate,HasSubmitted.,SubmissionDate,SubmissionStatus,ReviewScore,IsWinner.,Rating,Placement
1,30048252,dingjian,angular.js;css;html;javascript,2015-01-01T10:23:00.000-05:00,Yes,2015-01-06T07:47:00.000-05:00,Completed Without Win,91.26,No,1117,3
2,30048252,poundinc_tc,angular.js;css;html;javascript,2015-01-01T10:31:00.000-05:00,No,,,0,No,323,
3,30048252,LieutenantRoger,angular.js;css;html;javascript,2015-01-01T10:44:00.000-05:00,No,,,0,No,1058,
4,30048252,wcheung,angular.js;css;html;javascript,2015-01-01T13:31:00.000-05:00,No,,,0,No,0,
5,30048253,kinfkong,html;hibernate;j2ee;jsp;java;javascript;spring;jquery,2015-01-01T14:22:00.000-05:00,Yes,2015-01-07T23:35:00.000-05:00,Active,90.9,Yes,0,1
7,30048265,TMALBONPH,android,2015-01-01T15:02:00.000-05:00,No,,,0,No,0,
8,30048263,tdjogi010,android,2015-01-01T15:14:00.000-05:00,No,,,0,No,0,
9,30048252,eduardomelendez,angular.js;css;html;javascript,2015-01-01T15:42:00.000-05:00,No,,,0,No,0,
10,30048252,MonicaMuranyi,angular.js;css;html;javascript,2015-01-01T17:29:00.000-05:00,Yes,2015-01-06T08:54:00.000-05:00,Completed Without Win,95.08,No,1256,2
11,30048252,alfiya_Zi,angular.js;css;html;javascript,2015-01-01T18:16:00.000-05:00,No,,,0,No,0,
16,30048268,mulish,android,2015-01-01T18:58:00.000-05:00,No,,,0,No,0,
19,30048265,mulish,android,2015-01-01T18:58:00.000-05:00,No,,,0,No,0,
20,30048266,mulish,android,2015-01-01T19:02:00.000-05:00,No,,,0,No,0,
21,30048264,mulish,android,2015-01-01T19:02:00.000-05:00,No,,,0,No,0,
22,30048263,mulish,android,2015-01-01T19:03:00.000-05:00,No,,,0,No,0,
23,30048262,mulish,android,2015-01-01T19:03:00.000-05:00,No,,,0,No,0,
24,30048261,mulish,android,2015-01-01T19:04:00.000-05:00,No,,,0,No,0,
25,30048260,mulish,android,2015-01-01T19:04:00.000-05:00,No,,,0,No,0,
30,30048252,stevenfrog,angular.js;css;html;javascript,2015-01-01T23:48:00.000-05:00,No,,,0,No,594,
32,30048260,arshadasif0312,android,2015-01-02T00:00:00.000-05:00,No,,,0,No,0,
35,30048263,Cursor,android,2015-01-02T00:55:00.000-05:00,No,,,0,No,0,
36,30048262,milktea.ramen,android,2015-01-02T01:05:00.000-05:00,No,,,0,No,0,
38,30048252,pfilippi,angular.js;css;html;javascript,2015-01-02T05:48:00.000-05:00,No,,,0,No,1088,
43,30048252,amrsaqr,angular.js;css;html;javascript,2015-01-02T10:04:00.000-05:00,No,,,0,No,845,
47,30048252,ananthhh,angular.js;css;html;javascript,2015-01-02T12:35:00.000-05:00,Yes,2015-01-06T07:36:00.000-05:00,Active,98.26,Yes,1083,1
48,30048262,sfdcdev11981,android,2015-01-02T12:57:00.000-05:00,No,,,0,No,0,
57,30048263,felartu,android,2015-01-02T18:55:00.000-05:00,No,,,0,No,0,
60,30048262,superastrom,android,2015-01-02T21:02:00.000-05:00,No,,,0,No,0,
64,30048252,sunbinbrother,angular.js;css;html;javascript,2015-01-02T22:29:00.000-05:00,No,,,0,No,0,
81,30048268,sunbinbrother,android,2015-01-02T23:01:00.000-05:00,No,,,0,No,0,
83,30048265,sunbinbrother,android,2015-01-02T23:01:00.000-05:00,No,,,0,No,0,
84,30048266,sunbinbrother,android,2015-01-02T23:01:00.000-05:00,No,,,0,No,0,
85,30048264,sunbinbrother,android,2015-01-02T23:01:00.000-05:00,No,,,0,No,0,
86,30048263,sunbinbrother,android,2015-01-02T23:02:00.000-05:00,No,,,0,No,0,
87,30048262,sunbinbrother,android,2015-01-02T23:02:00.000-05:00,No,,,0,No,0,
88,30048261,sunbinbrother,android,2015-01-02T23:02:00.000-05:00,No,,,0,No,0,
89,30048260,sunbinbrother,android,2015-01-02T23:02:00.000-05:00,No,,,0,No,0,
96,30048252,OlinaRuan,angular.js;css;html;javascript,2015-01-03T00:02:00.000-05:00,No,,,0,No,1045,
107,30048252,linuxgeek,angular.js;css;html;javascript,2015-01-03T06:03:00.000-05:00,No,,,0,No,0,
111,30048252,Colinh84,angular.js;css;html;javascript,2015-01-03T07:12:00.000-05:00,No,,,0,No,1815,
127,30048252,winterflame,angular.js;css;html;javascript,2015-01-03T08:04:00.000-05:00,No,,,0,No,978,
135,30048268,xin135,android,2015-01-03T09:16:00.000-05:00,Yes,2015-01-06T10:32:00.000-05:00,Active,100,Yes,0,1
138,30048266,xin135,android,2015-01-03T09:16:00.000-05:00,No,,,0,No,0,
139,30048265,xin135,android,2015-01-03T09:17:00.000-05:00,Yes,2015-01-03T09:19:00.000-05:00,Active,100,Yes,0,1
140,30048264,xin135,android,2015-01-03T09:17:00.000-05:00,Yes,2015-01-03T10:07:00.000-05:00,Active,100,Yes,0,1
141,30048263,xin135,android,2015-01-03T09:17:00.000-05:00,No,,,0,No,0,
142,30048262,xin135,android,2015-01-03T09:17:00.000-05:00,No,,,0,No,0,
143,30048261,xin135,android,2015-01-03T09:17:00.000-05:00,No,,,0,No,0,
144,30048260,xin135,android,2015-01-03T09:17:00.000-05:00,Yes,2015-01-03T09:20:00.000-05:00,Active,100,Yes,0,1
229,30048261,sunhong,android,2015-01-04T22:51:00.000-05:00,No,,,0,No,0,
307,30048266,samiuelson,android,2015-01-05T11:46:00.000-05:00,No,,,0,No,0,
428,30048268,cmax,android,2015-01-06T09:47:00.000-05:00,No,,,0,No,0,
429,30048266,cmax,android,2015-01-06T09:48:00.000-05:00,Yes,2015-01-13T12:21:00.000-05:00,Active,100,Yes,0,1
659,30048266,kanivel,android,2015-01-08T03:38:00.000-05:00,No,,,0,No,0,
660,30048263,kanivel,android,2015-01-08T03:39:00.000-05:00,No,,,0,No,0,
661,30048262,kanivel,android,2015-01-08T03:39:00.000-05:00,No,,,0,No,0,
662,30048261,kanivel,android,2015-01-08T03:39:00.000-05:00,No,,,0,No,0,
666,30048266,penpo,android,2015-01-08T03:47:00.000-05:00,No,,,0,No,0,
668,30048263,penpo,android,2015-01-08T03:49:00.000-05:00,No,,,0,No,0,
669,30048262,penpo,android,2015-01-08T03:49:00.000-05:00,No,,,0,No,0,
909,30048262,Leewings,android,2015-01-10T06:56:00.000-05:00,No,,,0,No,0,
945,30048263,samschrecengost,android,2015-01-10T14:28:00.000-05:00,No,,,0,No,0,
980,30048266,zhaocong89,android,2015-01-11T04:08:00.000-05:00,No,,,0,No,0,
1002,30048266,codingdrone,android,2015-01-11T08:18:00.000-05:00,No,,,0,No,0,
1137,30048266,alikk,android,2015-01-12T16:41:00.000-05:00,No,,,0,No,0,
1140,30048261,yogen,android,2015-01-12T17:44:00.000-05:00,Yes,2015-01-12T17:45:00.000-05:00,Active,100,Yes,0,1
1176,30048261,cloudybay,android,2015-01-12T23:34:00.000-05:00,No,,,0,No,0,
1219,30048261,miaomaocat,android,2015-01-13T08:24:00.000-05:00,No,2015-01-13T08:25:00.000-05:00,Active,0,No,0,
1366,30048262,cmax,android,2015-01-14T04:52:00.000-05:00,Yes,2015-01-16T10:03:00.000-05:00,Active,100,Yes,0,1
1633,30048263,cloudybay,android,2015-01-16T02:51:00.000-05:00,No,,,0,No,0,
2452,30048263,KCJOSHI123,android,2015-01-21T09:27:00.000-05:00,No,,,0,No,0,
2471,30048263,karmakaze,android,2015-01-21T11:58:00.000-05:00,No,,,0,No,0,
2637,30048263,cmax,android,2015-01-22T11:40:00.000-05:00,Yes,2015-01-22T11:41:00.000-05:00,Active,100,Yes,0,1
104003,30056957,jonathanirvings,other,2017-03-25T07:28:00.000-04:00,Yes,2017-03-25T07:33:00.000-04:00,Active,0,Yes,0,
104004,30056958,jonathanirvings,other,2017-03-25T07:28:00.000-04:00,No,2017-03-25T07:34:00.000-04:00,,0,No,0,
104005,30056960,Shizhouxing,other,2017-03-25T07:31:00.000-04:00,No,2017-03-25T07:34:00.000-04:00,Active,0,No,0,
