OverAllReliabilityScore,AvgSuccessRateOnSimilarTasks,AvgSubmissionQualityOnSimilarTasks,TasCompletionTime(Days),TaskTotalPrize,numberOfCurrentlyRegisteredButNotYetSubmittedTasks,numberOfRegisteredTasksInLastXDays,numberOfSubmittedTasksInLastXDays,numberOfWonTasksInLastXDays,averagePriceOfRegisteredTasksInLastXDays,AverageofCurrentlyRegisteredButNotYetSubmittedTasksForTopYCompetitiors,AverageNumberOfRegisteredTasksForTopYCompetitiorsInLastXDays,AverageNumberOfSubmittedTasksForTopYCompetitiorsInLastXDays,AverageNumberOfWonTasksForTopYCompetitiorsInLastXDays,AverageofAverageTotalPrizeForTopYCompetitiorsInLastXDays,AverageofAverageSubmissionQualityForTopYCompetitiors,AverageofAverageSucessRateForTopYCompetitiors,WinRate,PlacementInCompetitions,MinimumSubmissionQuality,AverageSubmissionQuality,MaximumSubmissionQuality,AverageSubmissionQualityInSameChallengeTypeTopYCompetitiors,PlacementInSameChallengeTypeTopYCompetitiors,KnownAndRequiredTechnologyRatioConsideringLastXMonths,NumberOfUnexploredTechnolgiesConsideringLastXMonths,WinnerOrNon-Winner
1,1,100,30.00347222,350,0,1,1,1,100,0,7,5,5,243.7878788,100,0.621212121,1,1,100,100,100,100,1,1,0,Non-Winner
1,1,100,30.00347222,400,0,1,1,1,20,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0,0,0,30.00416667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,Non-Winner
1,1,100,30.00347222,200,0,2,2,2,210,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00416667,250,0,3,3,3,206.6666667,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00347222,80,0,4,4,4,217.5,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00416667,75,0,5,5,5,190,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00416667,100,0,6,6,6,170.8333333,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00347222,75,0,7,7,7,160.7142857,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.333333333,0.5,100,30.00347222,40,0,3,1,1,258.3333333,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.5,0.666666667,100,30.00347222,40,0,4,2,2,203.75,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00347222,80,0,8,8,8,150,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.25,0.25,0,30.00347222,30,0,4,1,1,166.25,0,0,0,0,0,0,0,1,100,0,0,0,0,0,1,0,Winner
0.4,0.4,100,30.00347222,30,0,5,2,2,139,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.5,0.5,100,30.00347222,150,0,6,3,3,120.8333333,0,6,1,1,313.3333333,100,0.166666667,1,1,100,100,100,100,1,1,0,Winner
0.25,0.25,100,30.00347222,400,0,8,2,2,278.75,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.25,0.25,100,30.00347222,200,0,8,2,2,303.75,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00347222,100,0,9,9,9,142.2222222,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.909090909,0.909090909,100,30.00347222,350,0,11,10,10,170.9090909,0,2,1,1,208.3333333,100,0.666666667,1,1,100,100,100,100,1,1,0,Winner
0.272727273,0.272727273,100,30.00347222,300,0,11,3,3,275.4545455,0,3,2,2,185.5,50,0.375,1,1,100,100,100,100,1,1,0,Winner
0.916666667,0.916666667,100,30.00347222,250,0,12,11,11,185.8333333,0,11,4,4,280,100,0.363636364,1,1,100,100,100,100,1,1,0,Winner
0.384615385,0.384615385,100,30.00347222,75,0,13,5,5,267.6923077,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.384615385,0.384615385,100,30.00347222,150,0,13,5,5,261.9230769,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
